Relationship,Entity1,Entity2,Entity1_ID,Entity2_ID
sister,Lizzy,Collins,N/A,Q0012
daughter,Lady Lucas,Lucases,N/A,N/A
sister,Elizabeth,Elizabeth,Q0001,Q0001
friends,Elizabeth,Bingley,Q0001,N/A
sister,Elizabeth,Gardiner,Q0001,N/A
sister,Jane,Elizabeth,Q0005,Q0001
friends,Jane,Jane,Q0005,Q0005
brother,Caroline,Gardiners,Q0010,N/A
brother,Bennet,Wickham,Q0003,N/A
father,Darcy,Gardiner,Q0002,N/A
father,Lizzy,Wickham,N/A,N/A
father,Wickham,Wickham,N/A,N/A
mother,Elizabeth,Elizabeth,Q0001,Q0001
mother,Elizabeth,Eliza,Q0001,N/A
father,Elizabeth,Maria,Q0001,N/A
friend,Elizabeth,Elizabeth,Q0001,Q0001
sister,Jane,Elizabeth,Q0005,Q0001
friend,Caroline,Longbourn,Q0010,N/A
brother,Caroline,Darcy,Q0010,Q0002
sister,Bingley,Jane,N/A,Q0005
sister,Jane,Lizzy,Q0005,N/A
sister,Bingley,Caroline,N/A,Q0010
friends,Bingley,William,N/A,Q0012
sister,Jane,Jane,Q0005,Q0005
sister,Darcy,Wickham,Q0002,N/A
mother,Collins,Jane,Q0012,Q0005
daughter,William,Wickham,Q0012,N/A
daughter,William Lucas,Maria,N/A,N/A
sister,Elizabeth,Jane,Q0001,Q0005
friend,Miss King,Miss King,N/A,N/A
friends,Lizzy,Lizzy,N/A,N/A
sister,Elizabeth,Elizabeth,Q0001,Q0001
friend,Collins,Elizabeth,N/A,Q0001
friend,Elizabeth,Collins,Q0001,N/A
sister,William,Elizabeth,Q0012,Q0001
sister,"Lady Catherine
de Bourgh",Maria,N/A,N/A
husband,Elizabeth,Collins,Q0001,Q0012
daughter,Lady Catherine,Maria,Q0013,N/A
wife,Elizabeth,Collins,Q0001,Q0012
wife,Collins,"Lady
Catherine",Q0012,Q0013
daughter,"Lady
Catherine",Lady Catherine,Q0013,Q0013
father,Maria Lucas,Elizabeth,N/A,Q0001
daughter,Lady Catherine,Jenkinson,Q0013,N/A
husband,Collins,William,N/A,Q0012
mother,Lady Catherine,Darcy,Q0013,Q0002
son,William,Elizabeth,Q0012,Q0001
father,Collins,Catherine,N/A,Q0007
father,"Miss
Bennet",Elizabeth,N/A,Q0001
daughter,Lady Catherine,Collins,Q0013,N/A
daughter,William,William,Q0012,Q0012
friend,Elizabeth,Collins,Q0001,Q0012
wife,Collins,Elizabeth,Q0012,Q0001
son,Fitzwilliam,Collins,N/A,Q0012
husband,Charlotte,Eliza,Q0017,N/A
friend,Collins,Elizabeth,N/A,Q0001
sister,Elizabeth,Bingleys,Q0001,N/A
daughter,Lady Catherine,Fitzwilliam,Q0013,N/A
friend,Collins,Elizabeth,N/A,Q0001
sister,Darcy,"Lady
Catherine",Q0002,Q0013
sister,Darcy,Elizabeth,Q0002,Q0001
friends,Bingley,Bingley,N/A,N/A
friend,Elizabeth,Lady Catherine,Q0001,Q0013
wife,Collins,Collins,Q0012,Q0012
friend,Collins,Darcy,N/A,Q0002
sister,Kent,Darcy,N/A,Q0002
friend,Fitzwilliam,Eliza,N/A,N/A
friend,Collins,Elizabeth,N/A,Q0001
son,Fitzwilliam,Earl,N/A,N/A
son,Earl,Colonel Fitzwilliam,N/A,N/A
brother,Bingley,Darcy,N/A,Q0002
friend,Bingley,Bingley,N/A,N/A
friend,Darcy,Fitzwilliam,Q0002,N/A
father,Jane,Darcy,Q0005,Q0002
friend,Darcy,Bingley,Q0002,N/A
husband,Collins,Collins,N/A,Q0012
sister,Darcy,Rosings,Q0002,N/A
sister,Elizabeth,Darcy,Q0001,Q0002
friend,Darcy,Jane,Q0002,Q0005
father,Bingley,Bingley,N/A,N/A
sister,Bingley,Bennet,N/A,Q0003
brother,Bingley,Wickham,N/A,N/A
son,Wickham,George Wickham,N/A,N/A
father,Wickham,Wickham,N/A,N/A
father,Wickham,"Colonel
     Fitzwilliam",N/A,N/A
brother,Georgiana,Wickham,Q0016,N/A
sister,Wickham,Wickham,N/A,N/A
father,Fitzwilliam,FITZWILLIAM DARCY,N/A,N/A
sister,Darcy,Wickham,Q0002,N/A
father,Darcy,Miss King,Q0002,N/A
brother,Wickham,Wickham,N/A,N/A
sister,Wickham,Jane,N/A,Q0005
sister,Darcy,Charlotte,Q0002,Q0017
sister,Jane,Jane,Q0005,Q0005
daughter,Lady Catherine,Elizabeth,Q0013,Q0001
friends,Lady Catherine,me!--They,Q0013,N/A
mother,Collins,Lady Catherine,Q0012,Q0013
mother,Bennet,Collins,Q0003,N/A
father,Bennet,Dawson,Q0003,N/A
daughter,Darcy,Darcy,Q0002,Q0002
father,Darcy,Elizabeth,Q0002,Q0001
mother,Lydia,Catherine,Q0008,Q0007
friend,Jane,Jane,Q0005,Q0005
friend,Collins,Elizabeth,N/A,Q0001
friends,Elizabeth,Elizabeth,Q0001,Q0001
sister,Jane,Darcy,Q0005,Q0002
husband,Lydia,Jane,Q0008,Q0005
friends,Forster,Harriet,N/A,N/A
daughter,Maria,Bennet,N/A,Q0003
sister,Mary,Lydia,Q0006,Q0008
sister,Jane,Darcy,Q0005,Q0002
sister,Darcy,Elizabeth,Q0002,Q0001
sister,Lizzy,Wickham,N/A,N/A
sister,Darcy,Darcy,Q0002,Q0002
sister,Darcy,Bingley,Q0002,N/A
friends,Bingley,Lizzy,N/A,N/A
sister,Jane,Jane,Q0005,Q0005
mother,Lizzy,Longbourn,N/A,N/A
mother,Lizzy,Millar,N/A,N/A
friend,Darcy,Lydia,Q0002,Q0008
wife,Forster,Lydia,N/A,Q0008
sister,Bennet,Lydia,Q0003,Q0008
friend,Lydia,Elizabeth,Q0008,Q0001
mother,Elizabeth,Lydia,Q0001,Q0008
father,"mark
Lydia's",Lydia,N/A,Q0008
couple,Jane,Lydia,Q0005,Q0008
mother,Lydia,Lydia,Q0008,Q0008
husband,Lydia,Lydia,Q0008,Q0008
daughter,Bennet,Lydia,Q0003,Q0008
father,Elizabeth,Bennet,Q0001,Q0003
father,Elizabeth,Elizabeth,Q0001,Q0001
mother,Wickham,Kitty,N/A,Q0007
sister,Jane,Lydia,Q0005,Q0008
mother,Kitty,Forster,Q0007,N/A
friends,Reynolds,Elizabeth,N/A,Q0001
son,Wickham,Gardiner,N/A,N/A
brother,Darcy,Gardiner,Q0002,Q0014
sister,Reynolds,Darcy,N/A,Q0002
father,Darcy,Gardiner,Q0002,N/A
friend,Elizabeth,Darcy,Q0001,Q0002
sister,Darcy,Elizabeth,Q0002,Q0001
father,Reynolds,Elizabeth,N/A,Q0001
brother,Reynolds,Elizabeth,N/A,Q0001
friends,Gardiner,Gardiner,N/A,Q0014
husband,Elizabeth,Darcy,Q0001,Q0002
sister,Bingley,Darcy,N/A,Q0002
sister,Elizabeth,Gardiner,Q0001,N/A
husband,Gardiner,Elizabeth,N/A,Q0001
sister,Darcy,Elizabeth,Q0002,Q0001
brother,Elizabeth,Darcy,Q0001,Q0002
brother,Elizabeth,Elizabeth,Q0001,Q0001
sister,Bingley,Darcy,N/A,Q0002
sister,Jane,Jane,Q0005,Q0005
friends,Hunsford Parsonage,Darcy,N/A,Q0002
husband,Elizabeth,Bingley,Q0001,N/A
friends,Elizabeth,Elizabeth,Q0001,Q0001
friends,Darcy,Wickham,Q0002,N/A
friends,Elizabeth,Darcy,Q0001,Q0002
brother,Darcy,Elizabeth,Q0002,Q0001
sister,Darcy,Bingley,Q0002,N/A
brother,Elizabeth,Elizabeth,Q0001,Q0001
brother,Georgiana,Elizabeth,Q0016,Q0001
brother,Georgiana,Elizabeth,Q0016,Q0001
sister,Bingley,Eliza Bennet,N/A,N/A
mother,Elizabeth,Darcy,Q0001,Q0002
sister,Elizabeth,Elizabeth,Q0001,Q0001
sister,Jane,Elizabeth,Q0005,Q0001
father,Kitty,Lizzy,Q0007,N/A
wife,Lydia,Elizabeth,Q0008,Q0001
father,Lizzy,Lydia,N/A,Q0008
mother,W.,Lizzy,N/A,N/A
sister,Jane,Wickham,Q0005,N/A
father,Darcy,Jane,Q0002,Q0005
sister,Elizabeth,Darcy,Q0001,Q0002
father,Jane,Lydia,Q0005,Q0008
friends,Elizabeth,Gardiner,Q0001,N/A
sister,Elizabeth,Forster,Q0001,N/A
friend,Gardiner,Jane,Q0014,Q0005
father,Lydia,Lydia,Q0008,Q0008
sister,Elizabeth,Meryton,Q0001,N/A
mother,Jane,Elizabeth,Q0005,Q0001
father,Jane,Mary,Q0005,Q0006
sister,Elizabeth,Gardiner,Q0001,N/A
father,Lydia,Bennet,Q0008,Q0003
brother,Wickham,Gardiner,N/A,Q0014
brother,Lydia,Bennet,Q0008,Q0003
brother,Lydia,Gardiner,Q0008,Q0014
sister,Kitty,Kitty,Q0007,Q0007
sister,Forster,Kitty,N/A,Q0007
sister,Jane,Forster,Q0005,N/A
wife,Lydia,Jane,Q0008,Q0005
friend,Forster,Lydia,N/A,Q0008
father,Elizabeth,Jane,Q0001,Q0005
mother,Elizabeth,Mary,Q0001,Q0006
father,Mary,Lucas,Q0006,N/A
father,Elizabeth,Jane,Q0001,Q0005
sister,Bennet,Gardiner,Q0003,N/A
sister,Elizabeth,Jane,Q0001,Q0005
wife,Gardiner,Bennet,Q0014,Q0003
brother,Gardiner,Bennet,Q0014,Q0003
father,Elizabeth,Gardiner,Q0001,Q0014
parent,Collins,Charlotte,N/A,Q0017
daughter,Catherine,Catherine,Q0007,Q0007
father,Gardiner,Bennet,Q0014,Q0003
friend,Elizabeth,Gardiner,Q0001,N/A
daughters,Bennet,Elizabeth,Q0003,Q0001
father,Kitty,Lizzy,Q0007,N/A
mother,Bennet,Kitty,Q0003,Q0007
mother,Elizabeth,Bennet,Q0001,Q0003
father,Gardiner,Jane,Q0014,Q0005
sister,Elizabeth,Elizabeth,Q0001,Q0001
father,Jane,Jane,Q0005,Q0005
daughter,Elizabeth,Wickham,Q0001,N/A
sister,Wickham,Elizabeth,N/A,Q0001
father,Elizabeth,Wickham,Q0001,N/A
father,Bennet,Elizabeth,Q0003,Q0001
sister,Elizabeth,Gardiner,Q0001,Q0014
mother,Elizabeth,Elizabeth,Q0001,Q0001
daughter,Lydia,Lydia,Q0008,Q0008
sister,Wickham,Gardiner,N/A,N/A
father,Lizzy,Hill,N/A,N/A
mother,Wickham,Wickham,N/A,N/A
father,Jane,Jane,Q0005,Q0005
sister,Meryton,Lady Lucas,N/A,N/A
wife,Bennet,Lydia,Q0003,Q0008
son,Bennet,Bennet,Q0003,Q0003
husband,Bennet,Bennet,Q0003,Q0003
brother,Bennet,Wickham,Q0003,N/A
brother,Lydia,Lydia,Q0008,Q0008
husband,Meryton,Bennet,N/A,Q0003
daughter,Jane,Ashworth,Q0005,N/A
husband,Purvis Lodge,Bennet,N/A,Q0003
husband,Bennet,Bennet,Q0003,Q0003
sister,Darcy,Lydia,Q0002,Q0008
couple,Lydia,Gardiner,Q0008,Q0014
friends,Wickham,Forster,N/A,N/A
daughters,Bennet,Gardiner,Q0003,Q0014
daughter,Forster,Jane,N/A,Q0005
sister,Elizabeth,Bennet,Q0001,Q0003
sister,Lydia,Bennet,Q0008,Q0003
mother,Lydia,Wickham,Q0008,N/A
couple,Bennet,Elizabeth,Q0003,Q0001
sister,Lydia,Wickham,Q0008,N/A
mother,Jane,Wickham,Q0005,N/A
father,Lydia,Jane,Q0008,Q0005
mother,Lydia,Jane,Q0008,Q0005
husband,Hill,Lydia,N/A,Q0008
daughter,Bennet,Wickham,Q0003,N/A
sister,Darcy,Lydia,Q0002,Q0008
sister,Gardiner,Wickham,Q0014,N/A
friend,Wickham,Wickham,N/A,N/A
friends,Lydia,Lydia,Q0008,Q0008
sister,Darcy,Bennet,Q0002,Q0003
father,Darcy,Lizzy,Q0002,N/A
friends,Lizzy,Lydia,N/A,Q0008
wife,Lizzy,Elizabeth,N/A,Q0001
sister,Darcy,Wickham,Q0002,N/A
sister,Wickham,Bennet,N/A,Q0003
sister,Meryton,Reynolds,N/A,N/A
sister,Gardiners,Darcy,N/A,Q0002
sister,Wickham,Elizabeth,N/A,Q0001
husband,Bennet,Lydia,Q0003,Q0008
wife,Wickham,Bennet,N/A,Q0003
son,William Lucas,Bennet,N/A,Q0003
husband,Lydia,Bennet,Q0008,Q0003
sister,Bingley,Nicholls,N/A,N/A
couple,Meryton,Bennet,N/A,Q0003
friend,Jane,Elizabeth,Q0005,Q0001
daughters,Bennet,Long,Q0003,N/A
sister,Jane,Elizabeth,Q0005,Q0001
daughters,Bennet,Jane,Q0003,Q0005
mother,Elizabeth,Darcy,Q0001,Q0002
friend,Darcy!--and,Bingley,Q0002,N/A
sister,Elizabeth,Darcy,Q0001,Q0002
friend,Bingley,Elizabeth,N/A,Q0001
sister,Longbourn,Jane,N/A,Q0005
mother,Darcy,Bingley,Q0002,N/A
daughters,Bennet,Elizabeth,Q0003,Q0001
friends,Gardiner,Jane,N/A,Q0005
daughters,Lucas,George Wickham,N/A,N/A
father,Lydia Bennet,Gardiner,N/A,N/A
daughter,Darcy,Bingley,Q0002,N/A
mother,Bingley,Bennet,N/A,Q0003
sister,Jane,Jane,Q0005,Q0005
sister,Darcy,Elizabeth,Q0002,Q0001
sister,Bingley,Jane,N/A,Q0005
friend,Elizabeth,Bingley,Q0001,N/A
sister,Darcy,Elizabeth,Q0002,Q0001
mother,Darcy,Elizabeth,Q0002,Q0001
sister,Darcy,Annesley,Q0002,N/A
mother,Elizabeth,Bennet,Q0001,Q0003
friend,Bingley,Bennet,N/A,Q0003
daughter,Bennet,Jane,Q0003,Q0005
mother,Kitty,Jane,Q0007,Q0005
mother,Elizabeth,Kitty,Q0001,Q0007
mother,Elizabeth,Kitty,Q0001,Q0007
daughter,Bingley,Bennet,N/A,Q0003
daughter,Bennet,Elizabeth,Q0003,Q0001
sister,Bingley,Jane,N/A,Q0005
sister,Jane,Lizzy,Q0005,N/A
friend,Elizabeth,Bingley,Q0001,N/A
sister,Elizabeth,Jane,Q0001,Q0005
daughter,Bennet,Jane,Q0003,Q0005
wife,Bennet,Jane,Q0003,Q0005
sister,Elizabeth,Jane,Q0001,Q0005
sister,Elizabeth,Elizabeth,Q0001,Q0001
friend,Elizabeth,Jane,Q0001,Q0005
mother,Elizabeth,Bennet,Q0001,Q0003
mother,Bennet,Elizabeth,Q0003,Q0001
mother,Bennet,Elizabeth,Q0003,Q0001
sister,Bennet,Elizabeth Bennet,Q0003,N/A
daughter,Darcy,Catherine,Q0002,Q0007
mother,De Bourgh,De Bourgh,N/A,N/A
friends,Darcy,Elizabeth,Q0002,Q0001
daughter,Bennet,Elizabeth,Q0003,Q0001
daughter,Darcy,Lady Catherine,Q0002,Q0013
friends,Catherine,Elizabeth,Q0007,Q0001
mother,Bennet,Elizabeth,Q0003,Q0001
daughter,"Lady
Catherine",Collinses,Q0013,N/A
friend,Elizabeth,Bingley,Q0001,N/A
sister,Jane,Catherine,Q0005,Q0007
friend,Bingley,Bennet,N/A,Q0003
father,Elizabeth,Lizzy,Q0001,N/A
father,Catherine,Elizabeth,Q0007,Q0001
daughter,Collins,Lucases,Q0012,N/A
daughter,Collins,Elizabeth,N/A,Q0001
sister,Bennet,Lizzy,Q0003,N/A
father,Elizabeth,Collins,Q0001,N/A
couple,Lydia,Longbourn,Q0008,N/A
son,Wickham,Lizzy,N/A,N/A
daughter,Lady Catherine,Elizabeth,Q0013,Q0001
daughter,Bennet,Bingley,Q0003,N/A
sister,Darcy,Darcy,Q0002,Q0002
son,Darcy,Elizabeth,Q0002,Q0001
sister,Georgiana,Bingley,Q0016,N/A
friend,Darcy,Elizabeth,Q0002,Q0001
friend,Elizabeth,Bingley,Q0001,N/A
friend,Bingley,Bingley,N/A,N/A
couple,Lizzy,Jane,N/A,Q0005
sister,Bingley,Jane,N/A,Q0005
friend,Bingley,Bingley,N/A,N/A
friend,Bingley,Lydia,N/A,Q0008
mother,Elizabeth,Bingley,Q0001,N/A
mother,Elizabeth,Darcy,Q0001,Q0002
father,Darcy,Darcy,Q0002,Q0002
father,Kitty,Lizzy,Q0007,N/A
father,Lizzy,Lizzy,N/A,N/A
father,Darcy,Lizzy,Q0002,N/A
mother,Elizabeth,Bennet,Q0001,Q0003
daughters,Lizzy,Elizabeth,N/A,Q0001
mother,Darcy,Elizabeth,Q0002,Q0001
son,Bennet,Elizabeth,Q0003,Q0001
sons,Bennet,Wickham,Q0003,N/A
sister,Catherine,Bingley,Q0007,N/A
wife,Elizabeth,Darcy,Q0001,Q0002
brother,Bingley,Jane,N/A,Q0005
brother,Darcy,Collins,Q0002,Q0012
wife,Elizabeth,Longbourn,Q0001,N/A
friend,Lady Catherine,Elizabeth,Q0013,Q0001
husband,Darcy,William Lucas,Q0002,N/A
sister,Philips,Bingley,N/A,N/A
daughters,Bennet,Bingley,Q0003,N/A
husband,Darcy,Bennet,Q0002,Q0003
mother,Jane,Meryton,Q0005,N/A
father,Wickham,Mary,N/A,Q0006
father,Mary,Wickham,Q0006,N/A
wife,Lydia,LIZZY,Q0008,N/A
husband,Lydia,Bingleys,Q0008,N/A
brother,Elizabeth,Elizabeth,Q0001,Q0001
