Relationship,Entity1,Entity2,Entity1_ID,Entity2_ID,Mode,Source
sister,Charles Bingley,Charles Bingley,Q0004,Q0004,100token,main2
friend,George Wickham,George Wickham,Q0010,Q0010,100token,main2
daughter,Catherine Bennet,Catherine Bennet,Q0009,Q0009,100token,main2
cousin,Elizabeth Bennet,Elizabeth Bennet,Q0002,Q0002,100token,main2
daughter,Lady Catherine de Bourgh,Lady Catherine de Bourgh,Q0013,Q0013,100token,main2
cousin,Lady Catherine de Bourgh,Lady Catherine de Bourgh,Q0013,Q0013,100token,main2
daughter,Charles Bingley,himself,Q0004,N/A,100token,main2
friend,Denny,George Wickham,N/A,Q0010,100token,main2
cousin,Lady Catherine de Bourgh,Catherine Bennet,Q0013,Q0009,100token,main2
friend,Charlotte Lucas,Charlotte Lucas,Q0011,Q0011,100token,main2
wife,Charlotte Lucas,Charlotte Lucas,Q0011,Q0011,100token,main2
brother,Caroline Bingley,Caroline Bingley,Q0016,Q0016,100token,main2
daughter,Fitzwilliam Darcy,daughter,Q0001,N/A,100token,main2
father,Fitzwilliam Darcy,daughter,Q0001,N/A,100token,main2
daughter,Charlotte Lucas,Maria,Q0011,N/A,100token,main2
daughter,Maria,Maria,N/A,N/A,100token,main2
cousin,Charlotte Lucas,herself,Q0011,N/A,100token,main2
son,Fitzwilliam Darcy,Charlotte Lucas,Q0001,Q0011,100token,main2
son,Fitzwilliam Darcy,Charlotte Lucas,Q0001,Q0011,100token,main2
daughter,Catherine Bennet,daughter,Q0009,N/A,100token,main2
friend,Elizabeth Bennet,Elizabeth Bennet,Q0002,Q0002,100token,main2
sister,Jane.--She,Jane.--Jane.--She,N/A,N/A,100token,main2
daughter,Fitzwilliam Darcy,Fitzwilliam Darcy,Q0001,Q0001,100token,main2
daughter,Fitzwilliam Darcy,Fitzwilliam Darcy,Q0001,Q0001,100token,main2
father,Lydia Bennet,Lydia Bennet,Q0007,Q0007,100token,main2
brother,Mr Gardiner,himself,Q0017,N/A,100token,main2
daughter,Catherine Bennet,Catherine Bennet,Q0009,Q0009,100token,main2
sister,Jane Bennet,Elizabeth Bennet,Q0003,Q0002,100token,main2
uncle,Fitzwilliam Darcy,herself,Q0001,N/A,100token,main2
daughter,Elizabeth Bennet,Elizabeth Bennet,Q0002,Q0002,100token,main2
aunt,Lady Catherine de Bourgh,Lady Catherine de Bourgh,Q0013,Q0013,100token,main2
friend,Charles Bingley,Jane Bennet,Q0004,Q0003,100token,main2
sister,Philips,Charles Bingley,N/A,Q0004,100token,main2
